kind,param,value,seed,success,state,steps,sim_time,path_length,collisions,first_detect_t,reach_t,homing_t,est_err_cm,known_frac,oracle_len,path_eff,victim_x,victim_y,wall_s
budget,thermal_range,6.0,11,1,reached,449,44.900000000000006,23.461426230229215,0,35.5,44.900000000000006,9.400000000000006,1.3209052606075506,0.9966666666666667,17.702438661763956,0.7332222045222138,14.0,10.5,3.2869582450000507
budget,thermal_range,6.0,12,1,reached,399,39.900000000000006,22.62226414989756,0,30.3,39.900000000000006,9.600000000000005,2.3886219055641047,0.9966666666666667,17.702438661763956,0.760420731885135,14.0,10.5,2.6815053800000896
budget,thermal_range,6.0,13,1,reached,732,73.2,39.744161569807744,2,63.800000000000004,73.2,9.399999999999999,1.2711121664456912,0.9966666666666667,17.702438661763956,0.4328293259262525,14.0,10.5,6.350221142000009
budget,thermal_range,6.0,14,1,reached,451,45.1,24.104799480773618,0,35.6,45.1,9.5,2.8414311797809297,0.9966666666666667,17.702438661763956,0.7136520125581174,14.0,10.5,3.289143248999835
budget,thermal_range,6.0,15,1,reached,429,42.900000000000006,23.50830320901856,0,33.6,42.900000000000006,9.300000000000004,2.2476032869956084,0.9966666666666667,17.702438661763956,0.7317601150883801,14.0,10.5,2.982580217000077
budget,thermal_range,6.0,16,1,reached,434,43.400000000000006,23.640707877452773,0,33.9,43.400000000000006,9.500000000000007,3.073613007176871,0.9966666666666667,17.702438661763956,0.7276617413884934,14.0,10.5,3.0174342840000463
budget,thermal_range,6.0,17,1,reached,684,68.4,36.68973564758288,0,58.900000000000006,68.4,9.5,1.2582849103719687,0.9966666666666667,17.702438661763956,0.46886243136225086,14.0,10.5,5.209957917000111
budget,thermal_range,6.0,18,1,reached,447,44.7,23.827685468520883,0,35.2,44.7,9.5,2.987543375877965,0.9966666666666667,17.702438661763956,0.7219517264692099,14.0,10.5,3.1568921289999707
budget,thermal_range,6.0,19,1,reached,593,59.300000000000004,32.61100464584809,0,50.0,59.300000000000004,9.300000000000004,3.1853079922820706,0.9966666666666667,17.702438661763956,0.5275041001827616,14.0,10.5,5.009480613000051
fallback_off,thermal_range_1x,3.0,0,0,searching,700,70.0,36.60794587422765,0,nan,nan,nan,nan,0.9966666666666667,17.702438661763956,0.4699099676574489,14.0,10.5,4.717956021999953
